ID, NOMBRE EJERCICIO, NOMBRE MÚSCULO, UBICACION, ¿DEFINIDO O NO DEFINIDO?, MASA MUSCULAR 
1; sentadillas; gluteo mayor; gluteos; True; 0.6
2; sentadillas; gluteo medio; gluteos; True; 0.75
3; sentadillas; cuadriceps; piernas; True; 0.5
4; sentadillas; isquiotibiales; piernas; False; 0.65
5; zancadas; isquiotibiales; piernas; False; 0.65
6; zancadas; gluteo mayor; piernas; True; 0.6
7; zancadas; cuadriceps; piernas; True; 0.35
8; zancadas; recto abdominal; abdomen; True; 0.98
9; flexiones de pecho; pectoral; pecho; False; 0.5
10; flexiones de pecho; triceps; brazos; False; 0.25
11; flexiones de pecho; deltoides; hombro; False; 0.35
12; flexiones de pecho; cuadriceps; piernas; True; 0.5
13; elevacion de pelvis; femorales; piernas; True; 0.6
14; elevacion de pelvis; gluteo mayor; gluteos; True; 0.75
15; plancha; recto abdominal; abdomen; True; 0.6
16; plancha; oblicuo interno; abdomen; True; 0.66
17; elevacion de talones; gemelos; pantorrillas; False; 0.3
18; burpees; cuadriceps; piernas; True; 0.75
19; burpees; triceps; brazos; False; 0.4
20; burpees; pectoral; pecho; False; 0.5
