Equipo,Porcentajes
Milwaukee Bucks,0.852
Toronto Raptors,0.727
Boston Celtics,0.704
Miami Heat,0.648
Philadelphia 76ers,0.618
Indiana Pacers,0.582
Brooklyn Nets,0.472
Orlando Magic,0.436
Washington Wizards,0.377
Chicago Bulls,0.345
Detroit Pistons,0.333
Charlotte Hornets,0.333
New York Knicks,0.309
Atlanta Hawks,0.268
Cleveland Cavaliers,0.259
Los Angeles Lakers,0.774
Denver Nuggets,0.691
Los Angeles Clippers,0.673
Utah Jazz,0.667
Houston Rockets,0.63
Oklahoma City Thunder,0.6
Dallas Mavericks,0.6
Memphis Grizzlies,0.519
Portland Trail Blazers,0.446
San Antonio Spurs,0.426
New Orleans Pelicans,0.418
Phoenix Suns,0.4
Sacramento Kings,0.389
Minnesota Timberwolves,0.302
Golden State Warriors,0.218
